snapshot_date,factor_column,number_of_stocks,size_correlation_before,size_correlation_after,mean_absolute_industry_score_before,mean_absolute_industry_score_after
2020-12-31,turnover_20,300,-0.32585475,-0.00000000,0.53235754,0.00000000
2020-12-31,turnover_stability_20,300,0.35376050,0.00000000,0.55062615,0.00000000
2020-12-31,amihud_liquidity_score_20,300,0.60770172,-0.00000000,0.61020565,0.00000000
2020-12-31,value_pe_score,300,0.06205527,0.00000000,0.74846213,0.00000000
2020-12-31,value_pb_score,300,-0.04328931,0.00000000,0.72046983,0.00000000
2020-12-31,value_ps_score,300,0.02809999,0.00000000,0.72818045,0.00000000
2020-12-31,value_pcf_score,300,-0.00011381,0.00000000,0.66873584,0.00000000
2021-01-31,momentum_20,300,0.18060080,-0.00000000,0.50645742,0.00000000
2021-01-31,momentum_60,300,0.26256462,-0.00000000,0.55120104,0.00000000
2021-01-31,momentum_120,300,0.37181871,-0.00000000,0.57914393,0.00000000
2021-01-31,momentum_12_1,300,0.30837414,0.00000000,0.64156658,0.00000000
2021-01-31,reversal_5_score,300,-0.03711123,-0.00000000,0.65833481,0.00000000
2021-01-31,volatility_20,300,-0.02754829,0.00000000,0.66387704,0.00000000
2021-01-31,downside_volatility_60,300,0.05597637,0.00000000,0.65017605,0.00000000
2021-01-31,drawdown_60,300,0.21943511,0.00000000,0.63662027,0.00000000
2021-01-31,trend_60,300,0.24765574,0.00000000,0.51273607,0.00000000
2021-01-31,liquidity_amount_20,300,0.61835218,-0.00000000,0.55395578,0.00000000
2021-01-31,turnover_20,300,-0.27957568,-0.00000000,0.54283987,0.00000000
2021-01-31,turnover_stability_20,300,0.36704611,0.00000000,0.57476467,0.00000000
2021-01-31,amihud_liquidity_score_20,300,0.61734739,-0.00000000,0.55597422,0.00000000
2021-01-31,value_pe_score,300,0.01096037,0.00000000,0.73111620,0.00000000
2021-01-31,value_pb_score,300,-0.10866527,0.00000000,0.72647923,0.00000000
2021-01-31,value_ps_score,300,-0.01704191,0.00000000,0.72563704,0.00000000
2021-01-31,value_pcf_score,300,-0.04511565,0.00000000,0.66934541,0.00000000
2021-02-28,momentum_20,300,0.05550214,0.00000000,0.76060198,0.00000000
2021-02-28,momentum_60,300,0.31289886,-0.00000000,0.55721068,0.00000000
2021-02-28,momentum_120,300,0.37461623,-0.00000000,0.58092585,0.00000000
2021-02-28,momentum_12_1,300,0.36008857,-0.00000000,0.67105453,0.00000000
2021-02-28,reversal_5_score,300,0.19682967,-0.00000000,0.68107363,0.00000000
2021-02-28,volatility_20,300,-0.10523422,0.00000000,0.63221665,0.00000000
