date,method,rolling_12m_return_percent,rolling_12m_volatility_percent,rolling_12m_sharpe_ratio,rolling_12m_maximum_drawdown_percent
2026-04-01,Walk-Forward Portfolio After Costs,8.099869363219426,16.201003419081488,0.44037516026743256,-10.209669617269313
2026-04-02,Walk-Forward Portfolio After Costs,8.036807860659568,16.203337041710128,0.4367325066748345,-9.641946204271823
2026-04-03,Walk-Forward Portfolio After Costs,7.969146536454685,16.20649796682887,0.43281208321278686,-9.641946204271823
2026-04-07,Walk-Forward Portfolio After Costs,8.485315437085262,16.18771410411283,0.4625992765396376,-9.641946204271823
2026-04-08,Walk-Forward Portfolio After Costs,10.411011194204933,16.32974691131615,0.5677556628802657,-9.641946204271823
2026-04-09,Walk-Forward Portfolio After Costs,8.631384481438143,16.383537425057952,0.46720832505760246,-9.641946204271823
2026-04-10,Walk-Forward Portfolio After Costs,9.56916329817139,16.393240689042077,0.5194827385154045,-9.641946204271823
2026-04-13,Walk-Forward Portfolio After Costs,9.59439605304766,16.392793665759413,0.5208976922733098,-9.641946204271823
2026-04-14,Walk-Forward Portfolio After Costs,10.245767914403746,16.403400758395875,0.5568074776540265,-9.641946204271823
2026-04-15,Walk-Forward Portfolio After Costs,11.849787817621294,16.357117486825786,0.6462671775909311,-9.641946204271823
2026-04-16,Walk-Forward Portfolio After Costs,11.332844988050406,16.34411319696623,0.6182952776351085,-9.641946204271823
2026-04-17,Walk-Forward Portfolio After Costs,10.891830420257097,16.35100358551188,0.5938177791534989,-9.641946204271823
2026-04-20,Walk-Forward Portfolio After Costs,11.818341951034373,16.336595641185315,0.645152697766515,-9.641946204271823
2026-04-21,Walk-Forward Portfolio After Costs,21.683042166055166,14.219341743704161,1.312244773533105,-9.641946204271823
2026-04-22,Walk-Forward Portfolio After Costs,18.31044963781523,13.990092197276674,1.1304229618654942,-9.641946204271823
2026-04-23,Walk-Forward Portfolio After Costs,16.407794438420154,13.927647465194806,1.0183897951045073,-9.641946204271823
2026-04-24,Walk-Forward Portfolio After Costs,14.224395143174839,13.900585989638326,0.8838106773025385,-9.641946204271823
2026-04-27,Walk-Forward Portfolio After Costs,13.654927339999045,13.905137568110007,0.8476033633122003,-9.641946204271823
2026-04-28,Walk-Forward Portfolio After Costs,13.729392341152714,13.906131704560417,0.8522651631694307,-9.641946204271823
2026-04-29,Walk-Forward Portfolio After Costs,14.701253666661929,13.920270744288521,0.9127013292623357,-9.641946204271823
2026-04-30,Walk-Forward Portfolio After Costs,14.376686745649847,13.91981260030095,0.8923578818397843,-9.641946204271823
2026-05-06,Walk-Forward Portfolio After Costs,14.725214306204881,13.914843266129125,0.9145051391140661,-9.641946204271823
2026-05-07,Walk-Forward Portfolio After Costs,14.769418587057537,13.91514148842989,0.9172585569387509,-9.641946204271823
2026-05-08,Walk-Forward Portfolio After Costs,14.561840689432337,13.915224175981358,0.9042369534688912,-9.641946204271823
2026-05-11,Walk-Forward Portfolio After Costs,15.783850900484243,13.928960016110754,0.9797011757106867,-9.641946204271823
2026-05-12,Walk-Forward Portfolio After Costs,14.757581295587574,13.959754327378636,0.9140321838544426,-9.641946204271823
2026-05-13,Walk-Forward Portfolio After Costs,15.778521863400341,13.956304881700273,0.9777250405062836,-9.641946204271823
2026-05-14,Walk-Forward Portfolio After Costs,14.273374996350974,14.009250744021973,0.8810988391327008,-9.641946204271823
2026-05-15,Walk-Forward Portfolio After Costs,13.801741247226795,14.034312787423737,0.8502912682435663,-9.641946204271823
2026-05-18,Walk-Forward Portfolio After Costs,13.889754575628244,14.030434907908518,0.8560005611762819,-9.641946204271823
2026-05-19,Walk-Forward Portfolio After Costs,15.400406132517187,14.07483208085297,0.9474134120995726,-9.641946204271823
2026-05-20,Walk-Forward Portfolio After Costs,12.921776917409034,14.09677370953257,0.7920515555371815,-9.641946204271823
2026-05-21,Walk-Forward Portfolio After Costs,11.624947077837856,14.0758108897522,0.7109216504400447,-9.641946204271823
2026-05-22,Walk-Forward Portfolio After Costs,11.606561631306711,14.075693144804141,0.7097556193989274,-9.641946204271823
2026-05-25,Walk-Forward Portfolio After Costs,11.95132510618022,14.068832573152616,0.7319669051834833,-9.641946204271823
2026-05-26,Walk-Forward Portfolio After Costs,11.781952854722766,14.06198658931376,0.7214832922781464,-9.641946204271823
2026-05-27,Walk-Forward Portfolio After Costs,11.121811381400004,14.071397728734727,0.6789816240257127,-9.641946204271823
2026-05-28,Walk-Forward Portfolio After Costs,9.622483087839907,14.138680790612208,0.5803031022934945,-10.09902549395888
2026-05-29,Walk-Forward Portfolio After Costs,10.040929766723593,14.124848915378177,0.6077169405197618,-10.353158652578765
2026-06-01,Walk-Forward Portfolio After Costs,11.141486526301048,14.150063728004161,0.6772436566908807,-10.353158652578765
2026-06-02,Walk-Forward Portfolio After Costs,11.62444920643364,14.148277821497265,0.7079729075314916,-10.353158652578765
2026-06-03,Walk-Forward Portfolio After Costs,10.734357775934589,14.172244506365473,0.6504990647152145,-10.353158652578765
2026-06-04,Walk-Forward Portfolio After Costs,8.691799490350327,14.27158520743112,0.5164611740071369,-11.544587425047814
2026-06-05,Walk-Forward Portfolio After Costs,9.40272703042002,14.268757307884849,0.5622432425776316,-11.544587425047814
2026-06-08,Walk-Forward Portfolio After Costs,8.210300411409644,14.373279165014766,0.48293071902072904,-12.946654529951008
2026-06-09,Walk-Forward Portfolio After Costs,8.707729311021195,14.370621081530558,0.5149197744056216,-12.946654529951008
2026-06-10,Walk-Forward Portfolio After Costs,8.777898998895184,14.3686983139111,0.5194620096973511,-13.1005645130697
2026-06-11,Walk-Forward Portfolio After Costs,8.612897086605242,14.372878483071002,0.5087870778832335,-13.477731421461048
2026-06-12,Walk-Forward Portfolio After Costs,9.313736998911025,14.41399936802682,0.5523802895849196,-13.477731421461048
2026-06-15,Walk-Forward Portfolio After Costs,9.574164218901338,14.407937601560677,0.569074235729216,-13.477731421461048
2026-06-16,Walk-Forward Portfolio After Costs,8.282064202954231,14.442901600716704,0.4858845524233354,-13.477731421461048
2026-06-17,Walk-Forward Portfolio After Costs,7.911829247161073,14.443979122093545,0.46213824397500747,-13.572983103017322
2026-06-18,Walk-Forward Portfolio After Costs,5.721134203290079,14.567899172983513,0.3186221492392562,-15.18649660463679
2026-06-22,Walk-Forward Portfolio After Costs,7.458779054519948,14.681375846840211,0.42834623711034175,-15.18649660463679
2026-06-23,Walk-Forward Portfolio After Costs,4.687572049114941,14.852019017930749,0.2491771219864174,-15.543529992996652
2026-06-24,Walk-Forward Portfolio After Costs,4.903878994606381,14.839803756576805,0.26317173940974475,-16.18321868153123
2026-06-25,Walk-Forward Portfolio After Costs,4.597404373118463,14.83281488672109,0.24349700512953365,-16.18321868153123
2026-06-26,Walk-Forward Portfolio After Costs,2.61004946897212,14.967005783998891,0.11447097289017454,-17.655631177202793
2026-06-29,Walk-Forward Portfolio After Costs,4.157093960722502,15.022446822073512,0.21422592223416917,-17.655631177202793
2026-06-30,Walk-Forward Portfolio After Costs,3.7824831948802373,15.037067961440497,0.1901979997497663,-17.655631177202793
2026-07-01,Walk-Forward Portfolio After Costs,5.3025526315706895,15.12409892770474,0.2861206213229907,-17.655631177202793
